net,length_um
ro_count_reg_2[5],16.14µm
_0618_,16.09µm
ro_counter_inst.measurement_window\[8\],15.955µm
delay_count_reg_1[13],15.92µm
delay_count_reg_2[1],15.92µm
_0866_,15.895µm
net321,15.87µm
_0229_,15.85µm
_0836_,15.81µm
net2,15.795µm
_0641_,15.78µm
_0867_,15.72µm
net1,15.63µm
net226,15.62µm
_0810_,15.54µm
_0763_,15.525µm
delay_count_reg_1[3],15.5µm
net434,15.39µm
net290,15.355µm
net236,15.26µm
net220,15.14µm
net426,15.13µm
_0298_,15.12µm
delay_count_reg_2[9],15.08µm
net361,15.07µm
delay_chain_inst.chain_0\[0\],15.06µm
net234,15.025µm
net597,15.02µm
net286,14.915µm
_0179_,14.83µm
net75,14.83µm
net26,14.815µm
net399,14.77µm
_0804_,14.71µm
net294,14.7µm
_0845_,14.695µm
_0832_,14.66µm
net564,14.66µm
_0865_,14.65µm
_0500_,14.64µm
_0538_,14.58µm
ro_counter_inst.measurement_window\[3\],14.54µm
net604,14.54µm
_0620_,14.53µm
net427,14.445µm
state\[6\],14.41µm
net222,14.35µm
_0727_,14.34µm
_0647_,14.335µm
net439,14.29µm
net532,14.29µm
delay_count_reg_2[11],14.24µm
_0714_,14.22µm
_0503_,14.18µm
delay_count_reg_2[14],14.18µm
net72,14.07µm
net454,14.04µm
delay_chain_inst.chain_1\[9\],13.99µm
net252,13.96µm
_0610_,13.92µm
_0706_,13.87µm
net409,13.87µm
net494,13.82µm
_0564_,13.76µm
net251,13.7µm
_0872_,13.68µm
net232,13.65µm
delay_chain_inst.chain_2\[19\],13.58µm
_0512_,13.51µm
_0523_,13.45µm
net370,13.445µm
_0815_,13.435µm
delay_count_reg_2[0],13.4µm
net37,13.395µm
net254,13.38µm
_0606_,13.33µm
_0656_,13.27µm
_0361_,13.26µm
delay_count_reg_0[13],13.22µm
net224,13.11µm
net242,13.11µm
delay_count_reg_1[0],13.1µm
_0287_,13.09µm
_0614_,13.09µm
_0625_,13.09µm
net436,13.08µm
_0524_,12.9µm
_0612_,12.84µm
net601,12.82µm
delay_count_reg_1[10],12.8µm
delay_count_reg_1[14],12.8µm
net622,12.74µm
_0811_,12.73µm
delay_chain_inst.cycle_count\[10\],12.73µm
_0853_,12.615µm
_0535_,12.61µm
