Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_122_259,VDD,Metal1,131.7690,479.4610,1.199995
FILLER_122_252,VDD,Metal1,128.4090,479.4610,1.199995
FILLER_122_245,VDD,Metal1,125.0490,479.4610,1.199996
FILLER_122_238,VDD,Metal1,121.6890,479.4610,1.199996
FILLER_122_231,VDD,Metal1,118.3290,479.4610,1.199997
FILLER_122_224,VDD,Metal1,114.9690,479.4610,1.199997
FILLER_122_217,VDD,Metal1,111.6090,479.4610,1.199997
FILLER_122_210,VDD,Metal1,108.2490,479.4610,1.199998
FILLER_122_203,VDD,Metal1,104.8890,479.4610,1.199998
FILLER_122_196,VDD,Metal1,101.5290,479.4610,1.199999
FILLER_122_189,VDD,Metal1,98.1690,479.4610,1.199999
FILLER_122_182,VDD,Metal1,94.8090,479.4610,1.199999
FILLER_122_175,VDD,Metal1,91.4490,479.4610,1.199999
FILLER_122_168,VDD,Metal1,88.0890,479.4610,1.199999
FILLER_122_161,VDD,Metal1,84.7290,479.4610,1.199999
FILLER_122_154,VDD,Metal1,81.3690,479.4610,1.199999
FILLER_122_147,VDD,Metal1,78.0090,479.4610,1.199999
FILLER_122_140,VDD,Metal1,74.6490,479.4610,1.199999
FILLER_122_133,VDD,Metal1,71.2890,479.4610,1.199999
FILLER_122_126,VDD,Metal1,67.9290,479.4610,1.199999
FILLER_122_119,VDD,Metal1,64.5690,479.4610,1.200000
FILLER_122_112,VDD,Metal1,61.2090,479.4610,1.200000
FILLER_122_105,VDD,Metal1,57.8490,479.4610,1.200000
FILLER_122_98,VDD,Metal1,54.4890,479.4610,1.200000
FILLER_122_91,VDD,Metal1,51.1290,479.4610,1.200000
FILLER_122_84,VDD,Metal1,47.7690,479.4610,1.200000
FILLER_122_77,VDD,Metal1,44.4090,479.4610,1.200000
FILLER_122_70,VDD,Metal1,41.0490,479.4610,1.200000
FILLER_122_63,VDD,Metal1,37.6890,479.4610,1.200000
FILLER_122_56,VDD,Metal1,34.3290,479.4610,1.200000
FILLER_122_49,VDD,Metal1,30.9690,479.4610,1.200000
FILLER_122_42,VDD,Metal1,27.6090,479.4610,1.200000
FILLER_122_35,VDD,Metal1,24.2490,479.4610,1.200000
FILLER_122_28,VDD,Metal1,20.8890,479.4610,1.200000
FILLER_122_21,VDD,Metal1,17.5290,479.4610,1.200000
FILLER_122_14,VDD,Metal1,14.1690,479.4610,1.200000
FILLER_122_7,VDD,Metal1,10.8090,479.4610,1.200000
FILLER_122_0,VDD,Metal1,7.4490,479.4610,1.200000
FILLER_121_1015,VDD,Metal1,493.4400,472.5000,1.200000
FILLER_121_1008,VDD,Metal1,491.2890,473.0980,1.200000
FILLER_121_1001,VDD,Metal1,487.9290,473.0980,1.200000
FILLER_121_994,VDD,Metal1,484.5690,473.0980,1.200000
FILLER_121_987,VDD,Metal1,481.2090,473.0980,1.200000
FILLER_121_980,VDD,Metal1,477.8490,473.0980,1.200000
FILLER_121_973,VDD,Metal1,474.4890,473.0980,1.200000
FILLER_121_966,VDD,Metal1,471.1290,473.0980,1.200000
FILLER_121_959,VDD,Metal1,467.7690,473.0980,1.200000
FILLER_121_952,VDD,Metal1,464.4090,473.0980,1.200000
FILLER_121_945,VDD,Metal1,461.0490,473.0980,1.200000
FILLER_121_938,VDD,Metal1,457.6890,473.0980,1.200000
FILLER_121_931,VDD,Metal1,454.3290,473.0980,1.200000
FILLER_121_924,VDD,Metal1,450.9690,473.0980,1.200000
FILLER_121_917,VDD,Metal1,447.6090,473.0980,1.200000
FILLER_121_910,VDD,Metal1,444.2490,473.0980,1.200000
FILLER_121_903,VDD,Metal1,440.8890,473.0980,1.200000
FILLER_121_896,VDD,Metal1,437.5290,473.0980,1.200000
FILLER_121_889,VDD,Metal1,434.1690,473.0980,1.200000
FILLER_121_882,VDD,Metal1,430.8090,473.0980,1.200000
FILLER_121_875,VDD,Metal1,427.4490,473.0980,1.200000
FILLER_121_868,VDD,Metal1,424.0890,473.0980,1.200000
FILLER_121_861,VDD,Metal1,420.7290,473.0980,1.200000
FILLER_121_854,VDD,Metal1,417.3690,473.0980,1.200000
FILLER_121_847,VDD,Metal1,414.0090,473.0980,1.200000
FILLER_121_840,VDD,Metal1,410.6490,473.0980,1.200000
FILLER_121_833,VDD,Metal1,407.2890,473.0980,1.200000
FILLER_121_826,VDD,Metal1,403.9290,473.0980,1.200000
FILLER_121_819,VDD,Metal1,400.5690,473.0980,1.200000
FILLER_121_812,VDD,Metal1,397.2090,473.0980,1.200000
FILLER_121_805,VDD,Metal1,393.8490,473.0980,1.200000
FILLER_121_798,VDD,Metal1,390.4890,473.0980,1.200000
FILLER_121_791,VDD,Metal1,387.1290,473.0980,1.200000
FILLER_121_784,VDD,Metal1,383.7690,473.0980,1.200000
FILLER_121_777,VDD,Metal1,380.4090,473.0980,1.200000
FILLER_121_770,VDD,Metal1,377.0490,473.0980,1.200000
FILLER_121_763,VDD,Metal1,373.6890,473.0980,1.199999
FILLER_121_756,VDD,Metal1,370.3290,473.0980,1.199999
FILLER_121_749,VDD,Metal1,366.9690,473.0980,1.199999
FILLER_121_742,VDD,Metal1,363.6090,473.0980,1.199999
FILLER_121_735,VDD,Metal1,360.2490,473.0980,1.199999
FILLER_121_728,VDD,Metal1,356.8890,473.0980,1.199999
FILLER_121_721,VDD,Metal1,353.5290,473.0980,1.199999
FILLER_121_714,VDD,Metal1,350.1690,473.0980,1.199999
FILLER_121_707,VDD,Metal1,346.8090,473.0980,1.199999
FILLER_121_700,VDD,Metal1,343.4490,473.0980,1.199999
FILLER_121_693,VDD,Metal1,340.0890,473.0980,1.199999
FILLER_121_686,VDD,Metal1,336.7290,473.0980,1.199999
FILLER_121_679,VDD,Metal1,333.3690,473.0980,1.199999
FILLER_121_672,VDD,Metal1,330.0090,473.0980,1.199999
FILLER_121_665,VDD,Metal1,326.6490,473.0980,1.199999
FILLER_121_658,VDD,Metal1,323.2890,473.0980,1.199999
FILLER_121_651,VDD,Metal1,319.9290,473.0980,1.199999
FILLER_121_644,VDD,Metal1,316.5690,473.0980,1.199998
FILLER_121_637,VDD,Metal1,313.2090,473.0980,1.199997
FILLER_121_630,VDD,Metal1,309.8490,473.0980,1.199996
FILLER_121_623,VDD,Metal1,306.4890,473.0980,1.199995
FILLER_121_616,VDD,Metal1,303.1290,473.0980,1.199994
FILLER_121_609,VDD,Metal1,299.7690,473.0980,1.199994
FILLER_121_602,VDD,Metal1,296.4090,473.0980,1.199993
FILLER_121_595,VDD,Metal1,293.0490,473.0980,1.199992
FILLER_121_588,VDD,Metal1,289.6890,473.0980,1.199991
FILLER_121_581,VDD,Metal1,286.3290,473.0980,1.199990
FILLER_121_574,VDD,Metal1,282.9690,473.0980,1.199989
FILLER_121_567,VDD,Metal1,279.6090,473.0980,1.199989
FILLER_121_560,VDD,Metal1,276.2490,473.0980,1.199988
FILLER_121_553,VDD,Metal1,272.8890,473.0980,1.199987
FILLER_121_546,VDD,Metal1,269.5290,473.0980,1.199986
FILLER_121_539,VDD,Metal1,266.1690,473.0980,1.199985
FILLER_121_532,VDD,Metal1,262.8090,473.0980,1.199984
FILLER_121_525,VDD,Metal1,259.4490,473.0980,1.199984
FILLER_121_518,VDD,Metal1,256.0890,473.0980,1.199983
FILLER_121_511,VDD,Metal1,252.7290,473.0980,1.199982
FILLER_121_504,VDD,Metal1,249.3690,473.0980,1.199981
FILLER_121_497,VDD,Metal1,246.0090,473.0980,1.199980
FILLER_121_490,VDD,Metal1,242.6490,473.0980,1.199967
FILLER_121_483,VDD,Metal1,239.2890,473.0980,1.199953
FILLER_121_467,VDD,Metal1,231.6090,473.0980,1.199917
FILLER_121_463,VDD,Metal1,228.2400,472.5000,1.199913
FILLER_121_450,VDD,Metal1,222.0000,472.5000,1.199860
FILLER_121_422,VDD,Metal1,208.8000,472.5000,1.199917
FILLER_121_417,VDD,Metal1,206.1600,472.5000,1.199925
FILLER_121_415,VDD,Metal1,205.4400,472.5000,1.199925
FILLER_121_384,VDD,Metal1,190.3200,472.5000,1.199949
FILLER_121_380,VDD,Metal1,189.1310,473.0960,1.199949
FILLER_121_376,VDD,Metal1,186.4800,472.5000,1.199956
FILLER_121_371,VDD,Metal1,184.3200,472.5000,1.199956
FILLER_121_364,VDD,Metal1,182.1690,473.0980,1.199963
FILLER_121_357,VDD,Metal1,178.8090,473.0980,1.199970
FILLER_121_350,VDD,Metal1,175.4490,473.0980,1.199977
FILLER_121_343,VDD,Metal1,172.0890,473.0980,1.199984
FILLER_121_336,VDD,Metal1,168.7290,473.0980,1.199990
FILLER_121_329,VDD,Metal1,165.3690,473.0980,1.199990
FILLER_121_322,VDD,Metal1,162.0090,473.0980,1.199991
FILLER_121_315,VDD,Metal1,158.6490,473.0980,1.199991
FILLER_121_308,VDD,Metal1,155.2890,473.0980,1.199992
FILLER_121_301,VDD,Metal1,151.9290,473.0980,1.199992
FILLER_121_294,VDD,Metal1,148.5690,473.0980,1.199993
FILLER_121_287,VDD,Metal1,145.2090,473.0980,1.199993
FILLER_121_280,VDD,Metal1,141.8490,473.0980,1.199993
FILLER_121_273,VDD,Metal1,138.4890,473.0980,1.199994
FILLER_121_266,VDD,Metal1,135.1290,473.0980,1.199994
FILLER_121_259,VDD,Metal1,131.7690,473.0980,1.199995
FILLER_121_252,VDD,Metal1,128.4090,473.0980,1.199995
FILLER_121_245,VDD,Metal1,125.0490,473.0980,1.199995
FILLER_121_238,VDD,Metal1,121.6890,473.0980,1.199996
FILLER_121_231,VDD,Metal1,118.3290,473.0980,1.199996
FILLER_121_224,VDD,Metal1,114.9690,473.0980,1.199997
FILLER_121_217,VDD,Metal1,111.6090,473.0980,1.199997
FILLER_121_210,VDD,Metal1,108.2490,473.0980,1.199998
FILLER_121_203,VDD,Metal1,104.8890,473.0980,1.199998
FILLER_121_196,VDD,Metal1,101.5290,473.0980,1.199998
FILLER_121_189,VDD,Metal1,98.1690,473.0980,1.199999
FILLER_121_182,VDD,Metal1,94.8090,473.0980,1.199999
FILLER_121_175,VDD,Metal1,91.4490,473.0980,1.199999
FILLER_121_168,VDD,Metal1,88.0890,473.0980,1.199999
FILLER_121_161,VDD,Metal1,84.7290,473.0980,1.199999
FILLER_121_154,VDD,Metal1,81.3690,473.0980,1.199999
FILLER_121_147,VDD,Metal1,78.0090,473.0980,1.199999
FILLER_121_140,VDD,Metal1,74.6490,473.0980,1.199999
FILLER_121_133,VDD,Metal1,71.2890,473.0980,1.199999
FILLER_121_126,VDD,Metal1,67.9290,473.0980,1.199999
FILLER_121_119,VDD,Metal1,64.5690,473.0980,1.199999
FILLER_121_112,VDD,Metal1,61.2090,473.0980,1.199999
FILLER_121_105,VDD,Metal1,57.8490,473.0980,1.200000
FILLER_121_98,VDD,Metal1,54.4890,473.0980,1.200000
FILLER_121_91,VDD,Metal1,51.1290,473.0980,1.200000
FILLER_121_84,VDD,Metal1,47.7690,473.0980,1.200000
FILLER_121_77,VDD,Metal1,44.4090,473.0980,1.200000
FILLER_121_70,VDD,Metal1,41.0490,473.0980,1.200000
FILLER_121_63,VDD,Metal1,37.6890,473.0980,1.200000
FILLER_121_56,VDD,Metal1,34.3290,473.0980,1.200000
FILLER_121_49,VDD,Metal1,30.9690,473.0980,1.200000
FILLER_121_42,VDD,Metal1,27.6090,473.0980,1.200000
FILLER_121_35,VDD,Metal1,24.2490,473.0980,1.200000
FILLER_121_28,VDD,Metal1,20.8890,473.0980,1.200000
FILLER_121_21,VDD,Metal1,17.5290,473.0980,1.200000
FILLER_121_14,VDD,Metal1,14.1690,473.0980,1.200000
FILLER_121_7,VDD,Metal1,10.8090,473.0980,1.200000
FILLER_121_0,VDD,Metal1,7.4490,473.0980,1.200000
FILLER_120_1015,VDD,Metal1,493.4400,472.5000,1.200000
FILLER_120_1008,VDD,Metal1,491.2890,471.9010,1.200000
FILLER_120_1001,VDD,Metal1,487.9290,471.9010,1.200000
FILLER_120_994,VDD,Metal1,484.5690,471.9010,1.200000
FILLER_120_987,VDD,Metal1,481.2090,471.9010,1.200000
FILLER_120_980,VDD,Metal1,477.8490,471.9010,1.200000
FILLER_120_973,VDD,Metal1,474.4890,471.9010,1.200000
FILLER_120_966,VDD,Metal1,471.1290,471.9010,1.200000
