net,length_um
net413,9.86µm
_0047_,9.84µm
net34,9.82µm
net363,9.82µm
_0704_,9.76µm
_0611_,9.7µm
delay_count_reg_0[14],9.67µm
_0054_,9.63µm
_0694_,9.58µm
net403,9.54µm
delay_chain_inst.chain_0\[2\],9.52µm
net269,9.52µm
_0385_,9.48µm
_0465_,9.48µm
_0657_,9.48µm
net219,9.48µm
net227,9.4µm
_0726_,9.38µm
net262,9.36µm
_0486_,9.305µm
net247,9.28µm
_0672_,9.26µm
net349,9.26µm
ro_counter_inst.prev_rclk_0,9.24µm
ro_counter_inst.start_prev,9.24µm
net342,9.24µm
_0079_,9.23µm
_0363_,9.22µm
net297,9.2µm
net351,9.2µm
net399,9.2µm
delay_chain_inst.delay_count_1\[2\],9.08µm
delay_chain_inst.chain_2\[16\],9.06µm
delay_chain_inst.chain_2\[18\],9.06µm
net389,9.06µm
_0634_,9.02µm
_0661_,9.02µm
net367,9.02µm
net243,8.94µm
net291,8.9µm
net366,8.9µm
net395,8.9µm
net373,8.84µm
net443,8.84µm
_0354_,8.82µm
_0629_,8.8µm
net391,8.78µm
_0278_,8.74µm
net300,8.74µm
_0487_,8.7µm
_0003_,8.68µm
_0390_,8.68µm
_0135_,8.67µm
delay_count_reg_0[10],8.65µm
delay_count_reg_0[13],8.65µm
delay_count_reg_0[9],8.65µm
delay_count_reg_1[8],8.65µm
_0160_,8.62µm
net274,8.62µm
net398,8.6µm
net393,8.58µm
_0126_,8.56µm
_0396_,8.54µm
delay_chain_inst.start,8.54µm
_0534_,8.52µm
_0720_,8.52µm
_0562_,8.48µm
net307,8.48µm
net309,8.48µm
_0527_,8.46µm
_0728_,8.44µm
net361,8.405µm
_0359_,8.385µm
_0407_,8.385µm
_0673_,8.32µm
_0015_,8.28µm
net295,8.26µm
_0109_,8.24µm
_0460_,8.24µm
_0357_,8.22µm
_0366_,8.22µm
_0355_,8.2µm
_0284_,8.18µm
_0451_,8.16µm
delay_chain_inst.delay_count_0\[3\],8.14µm
net460,8.14µm
_0580_,8.1µm
_0658_,8.1µm
net435,8.1µm
_0464_,8.08µm
_0154_,8.06µm
_0685_,8.06µm
_0723_,8.06µm
net378,8.02µm
_0410_,8µm
_0654_,7.98µm
net379,7.98µm
delay_count_reg_0[15],7.97µm
net50,7.94µm
_0192_,7.91µm
_0504_,7.9µm
_0612_,7.9µm
net424,7.9µm
_0647_,7.88µm
_0445_,7.84µm
net394,7.84µm
_0085_,7.82µm
net412,7.82µm
net455,7.82µm
net456,7.82µm
net344,7.8µm
_0523_,7.785µm
net214,7.77µm
_0706_,7.76µm
net331,7.76µm
net433,7.7µm
_0369_,7.68µm
_0411_,7.68µm
delay_chain_inst.chain_2\[17\],7.68µm
net404,7.68µm
_0016_,7.64µm
net28,7.64µm
delay_count_reg_1[11],7.63µm
_0130_,7.6µm
_0297_,7.6µm
_0607_,7.58µm
_0024_,7.56µm
_0717_,7.56µm
_0542_,7.54µm
_0182_,7.52µm
_0569_,7.52µm
net390,7.52µm
_0416_,7.48µm
net428,7.46µm
_0009_,7.44µm
_0188_,7.44µm
_0391_,7.44µm
net368,7.42µm
_0207_,7.4µm
_0573_,7.4µm
_0650_,7.38µm
net343,7.36µm
net448,7.36µm
net397,7.34µm
_0205_,7.3µm
_0476_,7.3µm
net285,7.3µm
delay_count_reg_0[12],7.29µm
delay_count_reg_0[8],7.29µm
delay_count_reg_1[9],7.29µm
net,7.29µm
_0637_,7.28µm
net372,7.265µm
_0209_,7.26µm
net317,7.24µm
_0227_,7.23µm
_0414_,7.22µm
_0511_,7.22µm
net241,7.22µm
net384,7.22µm
_0002_,7.18µm
_0263_,7.18µm
_0321_,7.18µm
_0360_,7.18µm
_0681_,7.18µm
_0134_,7.14µm
_0302_,7.14µm
state\[6\],7.14µm
net216,7.1µm
net308,7.1µm
_0420_,7.08µm
net264,7.065µm
_0450_,7.06µm
_0642_,7.06µm
_0679_,7.06µm
_0543_,6.98µm
_0597_,6.98µm
net48,6.98µm
_0686_,6.96µm
_0161_,6.94µm
ro_counter_inst.measurement_window\[9\],6.94µm
net434,6.9µm
_0087_,6.88µm
_0601_,6.88µm
_0703_,6.88µm
net387,6.88µm
delay_chain_inst.chain_0\[6\],6.86µm
_0462_,6.855µm
_0040_,6.84µm
_0479_,6.84µm
net444,6.84µm
delay_chain_inst.chain_2\[20\],6.82µm
_0181_,6.8µm
_0552_,6.78µm
net438,6.78µm
_0449_,6.76µm
net217,6.76µm
net365,6.76µm
net407,6.76µm
delay_chain_inst.delay_count_0\[5\],6.72µm
_0550_,6.66µm
_0545_,6.64µm
_0551_,6.62µm
net427,6.605µm
_0494_,6.6µm
_0530_,6.6µm
_0640_,6.6µm
_0710_,6.6µm
net345,6.54µm
net383,6.54µm
_0196_,6.48µm
_0219_,6.48µm
net360,6.44µm
net422,6.44µm
_0526_,6.42µm
_0017_,6.41µm
_0037_,6.41µm
_0508_,6.4µm
net350,6.4µm
_0567_,6.32µm
_0651_,6.32µm
delay_chain_inst.delay_count_1\[8\],6.32µm
_0415_,6.3µm
_0510_,6.3µm
_0525_,6.3µm
delay_chain_inst.chain_1\[11\],6.3µm
net334,6.3µm
net426,6.3µm
_0288_,6.26µm
_0343_,6.26µm
delay_chain_inst.chain_1\[12\],6.26µm
delay_chain_inst.chain_1\[13\],6.26µm
ro_counter_inst.prev_rclk_1,6.26µm
_0418_,6.18µm
_0564_,6.12µm
net250,6.08µm
net376,6.08µm
_0186_,6.07µm
_0216_,6.02µm
_0035_,5.99µm
_0432_,5.985µm
delay_chain_inst.delay_count_0\[13\],5.98µm
net420,5.98µm
net453,5.98µm
_0645_,5.96µm
net416,5.96µm
_0084_,5.95µm
_0146_,5.95µm
_0358_,5.94µm
_0399_,5.94µm
_0474_,5.94µm
_0429_,5.92µm
_0478_,5.92µm
_0516_,5.86µm
_0662_,5.86µm
net294,5.86µm
_0056_,5.84µm
_0389_,5.84µm
_0498_,5.84µm
delay_chain_inst.chain_2\[26\],5.84µm
delay_chain_inst.delay_count_0\[0\],5.84µm
delay_chain_inst.delay_count_1\[9\],5.84µm
net355,5.84µm
_0133_,5.8µm
_0281_,5.8µm
delay_chain_inst.chain_2\[21\],5.8µm
delay_chain_inst.chain_2\[22\],5.8µm
_0377_,5.78µm
_0346_,5.72µm
_0513_,5.72µm
_0402_,5.7µm
net20,5.7µm
_0433_,5.68µm
_0576_,5.68µm
net461,5.68µm
_0419_,5.645µm
_0066_,5.6µm
net338,5.6µm
_0038_,5.56µm
_0063_,5.56µm
_0096_,5.56µm
_0198_,5.56µm
_0240_,5.56µm
_0275_,5.56µm
_0431_,5.56µm
_0042_,5.53µm
_0141_,5.53µm
_0151_,5.53µm
net289,5.52µm
net324,5.52µm
net326,5.52µm
net337,5.52µm
net410,5.52µm
net414,5.52µm
_0306_,5.5µm
_0509_,5.5µm
net315,5.5µm
net377,5.5µm
_0155_,5.49µm
_0177_,5.49µm
_0387_,5.48µm
_0397_,5.48µm
_0627_,5.48µm
_0183_,5.46µm
_0244_,5.46µm
_0482_,5.46µm
_0529_,5.46µm
_0185_,5.44µm
_0472_,5.4µm
_0251_,5.39µm
_0344_,5.38µm
_0382_,5.38µm
_0453_,5.38µm
_0500_,5.38µm
_0532_,5.38µm
_0639_,5.38µm
_0695_,5.38µm
net267,5.38µm
net275,5.38µm
net411,5.38µm
_0313_,5.34µm
_0322_,5.34µm
delay_chain_inst.chain_1\[14\],5.34µm
delay_chain_inst.delay_status\[0\],5.34µm
_0356_,5.28µm
delay_chain_inst.delay_status\[2\],5.26µm
