2026-06-19 09:35:31 +0200: Memory Usage (453408K) : devtrench_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : redist_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : graphbot_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : graphtop_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : antvia1_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : antmetal2_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : graphcont_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : siwg_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : siwg_filler has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : siwg_nofill has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : sigrating_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : singrating_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : graphpas_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : emwind3_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : emwihv3_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : redbulay_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : smos_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : graphpad_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : polimide_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : polimide_pin has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : recog_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : recog_pin has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : recog_esd has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : recog_diode has 6 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : recog_tsv has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : recog_iprobe has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : recog_diffprb has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : recog_pillar has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : recog_sbump has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : recog_otp has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : recog_pdiode has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : recog_mom has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : recog_pcm has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : colopen_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : graphmetal1_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : graphmetal1_filler has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : graphmetal1_nofill has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : graphmetal1_slit has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : graphmetal1_opc has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : graphmet1l_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : graphmet1l_filler has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : graphmet1l_nofill has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : graphmet1l_slit has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : graphmet1l_opc has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : extblock_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : nldd_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : pldd_drw has 0 polygons
2026-06-19 09:35:31 +0200: Memory Usage (453408K) : next_drw has 0 polygons
